"msID","msNameAirMo","msCode_PS","msOrt","msOrtsteil","msKT","spID","spXCoord","spYCoord","spHoehe","spBisDatum","scID","scVerkehrslage","scSiedlungsgroesse","scLagerelativSiedlung","scSpezialinfo","scIDBStandorttyp","scIDBStationstyp","scIDBBebauung","scIDBVerkehr","scBisDatum"
5,"Opf_Balsberg","8152_0010","Opfikon","Balsberg","ZH",436,2685351,1254830,430,,2025,"S32","H31","Randzonen","A2","Vorstädtisch","Verkehr","offen","&gt; 50&apos;000",
10,"Wal_Dietlikonerstrasse","8304_0010","Wallisellen","Dietlikonerstrasse","ZH",446,2688071,1252880,470,,2027,"S0","H21","Randzonen","A2","Vorstädtisch","Hintergrund","offen","&lt; 5&apos;000",
11,"Win_Obertor","8400_0010","Winterthur","Obertor","ZH",451,2697436,1261855,448,,2030,"S0","H23","Zentrum","A2","Städtisch","Hintergrund","geschlossen","&lt; 5&apos;000",
12,"8000_0010","8000_0010","Zürich","Kaserne","ZH",665,2682451,1247990,409,,2127,"S0","H33","Zentrum","A2","Städtisch","Hintergrund","geschlossen","&lt; 5&apos;000",
13,"Zch_Schimmelstrasse","8000_0031","Zürich","Schimmelstrasse","ZH",453,2681942,1247245,415,,2434,"S23","H33","Zentrum","A2","Städtisch","Verkehr","geschlossen","20&apos;000 - 50&apos;000",
14,"Zch_Stampfenbachstrasse","8000_0020","Zürich","Stampfenbachstrasse","ZH",455,2683146,1249020,445,,2435,"S0","H33","Zentrum","A2","Städtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
15,"Zch_Schwamendingen","8000_0460","Zürich","Schwamendingen","ZH",454,2685101,1251305,430,,2279,"S33","H32","Wohngebiete","A2","Städtisch","Verkehr","geschlossen","&gt; 50&apos;000",
19,"8164_0010","8164_0010","Bachs","Gemeindehausstrasse 8","ZH",19,2675386,1264265,460,,1315,"S0","H0",,,,,,,
20,"Bac_Turm","8340_0010","Hinwil","Bachtel Turm","ZH",428,2709501,1239250,1145,,2021,"S00","H00","","A0","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
21,"8906_0010","8906_0010","Bonstetten","Alte Stationsstrasse 6","ZH",21,2677829,1241048,542,,1825,"S0","H12","Wohngebiete","A2",,,,,
25,"8193_0010","8193_0010","Eglisau","Rheinstrasse","ZH",25,2681551,1270050,364,,1321,"S12","H13",,,,,,,
27,"8245_0010","8245_0010","Feuerthalen","Zürcherstrasse 21","ZH",27,2690441,1283235,405,,1688,"S12","H13","Zentrum",,,,,,
29,"8627_0010","8627_0010","Grüningen","Chugelgasse","ZH",29,2700158,1237937,488,,1325,"S0","H13",,,,,,,
30,"Hed_Affolternstrasse","8908_0010","Hedingen","Affolternstrasse 21","ZH",30,2676457,1238755,502,,1826,"S12","H12","Wohngebiete","A3",,,,,
31,"8442_0010","8442_0010","Hettlingen","Alte Schaffhauserstrasse","ZH",355,2695621,1267010,441,,1327,"S0","H13",,,,,,,
33,"8181_0010","8181_0010","Höri","Pflanzgarten","ZH",33,2679447,1262844,462,,1329,"S00","H00",,"A1",,,,,
34,"8308_0010","8308_0010","Illnau-Effretikon","Örmis","ZH",34,2695400,1251864,522,,1330,"S00","H00",,,,,,,
35,"8302_0010","8302_0010","Kloten","Wilder Mann","ZH",35,2686136,1256500,435,,1331,"S23","H23",,,,,,,
36,"8934_0010","8934_0010","Knonau","Uttenbergstrasse 1","ZH",36,2677521,1230803,431,,1827,"S0","H13","Zentrum","A2",,,,,
38,"8706_0010","8706_0010","Meilen","Justrain 62","ZH",38,2691951,1236090,450,,1334,"S0","H12",,"A1",,,,,
40,"8153_0010","8153_0010","Rümlang","Leuchtmast Nr 23","ZH",367,2682134,1256745,445,,1336,"S0","H11",,,,,,,
41,"8630_0010","8630_0010","Rüti","Rothensteinstrasse","ZH",41,2707961,1234980,512,,1337,"S0","H11",,"A1",,,,,
43,"8488_0010","8488_0010","Turbenthal","Lindenweg 1","ZH",43,2706353,1254882,551,,1339,"S0","H13",,,,,,,
46,"8610_0010","8610_0010","Uster","Stadthaus","ZH",46,2696738,1244952,464,,1342,"S0","H23",,,,,,,
48,"8820_0010","8820_0010","Wädenswil","Park","ZH",48,2693326,1231790,417,,1689,"S00","H13","Zentrum",,,,,,
49,"8907_0010","8907_0010","Wettswil","Golfplatz","ZH",49,2677210,1243041,543,,1824,"S21","H00",,"A3",,,,,
52,"8126_0010","8126_0010","Zumikon","Morgental 28","ZH",52,2689026,1243595,647,,1348,"S0","H12",,,,,,,
53,"8400_0020","8400_0020","Winterthur","Sägeweg","ZH",53,2699862,1260009,458,,1349,"S00","H21",,,,,,,
54,"8400_0030","8400_0030","Winterthur","Breitestrasse 148","ZH",54,2696487,1260734,463,,1350,"S12","H21",,,,,,,
55,"8400_0050","8400_0050","Winterthur","Güterstrasse 1","ZH",55,2695801,1260700,446,,1351,"S0","H21",,,,,,,
56,"8400_0060","8400_0060","Winterthur","Schlosstalstrasse","ZH",56,2694501,1261925,425,,1352,"S12","H21",,,,,,,
57,"8400_0070","8400_0070","Winterthur","Schulhaus Hohfurri","ZH",57,2694622,1262779,419,,1353,"S0","H21",,,,,,,
58,"8400_0080","8400_0080","Winterthur","Schulhaus Langwiesen","ZH",58,2694126,1263250,421,,1354,"S0","H21",,,,,,,
59,"8400_0090","8400_0090","Winterthur","Schulhaus Rychenberg","ZH",59,2698881,1262648,485,,1355,"S0","H21",,,,,,,
60,"8400_0100","8400_0100","Winterthur","Sulzerallee","ZH",60,2699747,1262149,460,,1356,"S11","H21",,,,,,,
61,"8400_0040","8400_0040","Winterthur","Technikumstrasse 79","ZH",61,2696973,1261613,447,,1357,"S23","H23",,,,,,,
62,"8000_0080","8000_0080","Zürich","Bellevue","ZH",62,2683576,1246775,410,,1358,"S22","H33","Zentrum",,,,,,
63,"8000_0300","8000_0300","Zürich","Birchstrasse 579","ZH",63,2683286,1253365,435,,1359,"S0","H32","Wohngebiete",,,,,,
64,"8000_0280","8000_0280","Zürich","Eichbühlstrasse 43","ZH",64,2680891,1248575,410,,1360,"S00","H32","Wohngebiete",,,,,,
65,"8000_0390","8000_0390","Zürich","Forchstrasse 145","ZH",65,2684961,1246140,440,,1361,"S12","H33","Zentrum",,,,,,
66,"8000_0400","8000_0400","Zürich","Franklinplatz","ZH",66,2683421,1251580,445,,1362,"S12","H32","Wohngebiete",,,,,,
67,"8000_0060","8000_0060","Zürich","Gerhardstrasse","ZH",67,2681916,1247180,415,,1363,"S0","H33","Zentrum",,,,,,
68,"8000_0370","8000_0370","Zürich","Schulhaus Hirzenbach","ZH",68,2686701,1250900,430,,1364,"S00","H31","Randzonen",,,,,,
69,"8000_0360","8000_0360","Zürich","In Böden 123","ZH",69,2680901,1252540,460,,1365,"S0","H32","Wohngebiete",,,,,,
70,"8000_0100","8000_0100","Zürich","Meientalstrasse","ZH",70,2678486,1248885,415,,1366,"S0","H31","Randzonen",,,,,,
71,"8000_0320","8000_0320","Zürich","Josefstrasse 175","ZH",71,2682051,1248830,405,,1367,"S00","H33","Zentrum",,,,,,
72,"8000_0070","8000_0070","Zürich","Paradeplatz","ZH",72,2683116,1247165,415,,1368,"S0","H33","Zentrum",,,,,,
73,"8000_0090","8000_0090","Zürich","Rosengarten","ZH",73,2682101,1249920,430,,1369,"S22","H33","Zentrum",,,,,,
74,"Zch_Heubeeribüel","8000_0270","Zürich","Heubeeribüel","ZH",452,2685126,1248460,610,,2436,"S00","H32","Wohngebiete","A2","Vorstädtisch","Hintergrund","offen","&lt; 5&apos;000",
76,"8000_0310","8000_0310","Zürich","Schulhaus Seefeld","ZH",76,2684361,1245800,415,,1372,"S0","H33","Zentrum",,,,,,
77,"8000_0350","8000_0350","Zürich","Schulhaus Vogtsrain","ZH",77,2680081,1251965,495,,1373,"S0","H32","Wohngebiete",,,,,,
78,"8000_0380","8000_0380","Zürich","Schweighofstrasse 367","ZH",78,2680341,1246660,450,,1374,"S12","H32","Wohngebiete",,,,,,
79,"8000_0110","8000_0110","Zürich","Wachtelstrasse","ZH",79,2682211,1244125,455,,1375,"S0","H32","Wohngebiete",,,,,,
80,"8000_0340","8000_0340","Zürich","Strandbad Mythenquai","ZH",80,2682801,1245500,410,,1376,"S00","H33","Zentrum",,,,,,
238,"Spr_Willenacher","8957_0010","Spreitenbach","Willenacher","ZH",238,2670581,1252800,,,1534,,,,,,,,,
239,"Die_Industriestrasse","8953_0010","Dietikon","Industriestrasse","ZH",239,2672291,1252360,,,1535,,,,,,,,,
385,"Wld_Höhenklinik","8340_0020","Wald","Höhenklinik","ZH",821,2713780,1237408,910,,2026,"S0","H0","","A1","Ländlich","Hintergrund","offen","&lt; 5&apos;000",
386,"8308_0020","8308_0020","Illnau-Effretikon","Langhaag","ZH",368,2693965,1254909,527,,1729,"S32","H0",,,,,,,
395,"Wet_Filderen","8907_0030","Wettswil","Filderen","ZH",448,2677330,1243853,528,,2028,"S21","H00","","A2","Ländlich","Hintergrund","offen","20&apos;000 - 50&apos;000",
396,"Wet_Weieraecher","8907_0040","Wettswil","Weieraecher","ZH",449,2678079,1243686,550,,2029,"S0","H11","Randzonen","A1","Ländlich","Hintergrund","einseitig offen","&lt; 5&apos;000",
401,"8400_0110","8400_0110","Winterthur","Polizeiposten Ohringen","ZH",398,2696211,1264320,460,,1721,"S11","H21","Randzonen","A2",,,,,
409,"8000_0790","8000_0790","Zürich","Rosengartenstrasse Einfahrt","ZH",406,2682093,1249943,430,,1727,"S23","H33","Zentrum",,,,,,
428,"8903_0100","8903_0100","Birmensdorf","Vorder Altenberg 187","ZH",503,2674342,1244554,520,,1962,"S11","H00",,"A1",,,,,
430,"8903_0040","8903_0040","Birmensdorf","Hochspannungsmast","ZH",497,2674846,1245610,468,,1958,"S0","H11",,"A3",,,,,
434,"8903_0060","8903_0060","Birmensdorf","Breitestrasse 13","ZH",499,2675447,1244925,476,,1959,"S0","H11",,"A3",,,,,
435,"8903_0080","8903_0080","Birmensdorf","Kreisel Arni-Aesch-Lieli","ZH",501,2675493,1244649,485,,1961,"S11","H11",,"A1",,,,,
436,"8910_0030","8910_0030","Affoltern a. A.","Heimpelstrasse","ZH",516,2675701,1236793,493,,1973,"S0","H0",,"A2",,,,,
437,"8903_0070","8903_0070","Birmensdorf","Riedtstrasse 14","ZH",500,2675827,1244852,495,,1960,"S0","H12",,"A3",,,,,
439,"8903_0030","8903_0030","Birmensdorf","Risistrasse 24b","ZH",496,2676007,1245899,529,,1957,"S12","H12",,"A1",,,,,
441,"8903_0020","8903_0020","Birmensdorf","Ringstrasse 8","ZH",495,2676768,1245919,560,,1956,"S12","H11",,"A1",,,,,
442,"8910_0020","8910_0020","Affoltern a. A.","Alte Dorfstrasse 21","ZH",858,2676819,1236905,489,,2327,"S13","H13","Zentrum","A2","Vorstädtisch","Verkehr","geschlossen","5&apos;000 - 20&apos;000",
443,"8932_0020","8932_0020","Mettmenstetten","Untere Bahnhofsstrasse 28","ZH",519,2677062,1233341,470,,1974,"S12","H11",,"A2",,,,,
444,"8903_0010","8903_0010","Birmensdorf","Schwandenweg","ZH",494,2677281,1245278,505,,1955,"S0","H0",,"A3",,,,,
445,"8906_0020","8906_0020","Bonstetten","Chrüzacherweg 2","ZH",512,2677434,1241118,535,,1970,"S11","H11",,"A3",,,,,
446,"8907_0050","8907_0050","Wettswil","Bahndamm","ZH",528,2677548,1243795,527,,1979,"S00","H00",,"A3",,,,,
448,"8907_0120","8907_0120","Wettswil","Heidenchilenstrasse 1","ZH",526,2677641,1244480,556,,1978,"S0","H11",,"A3",,,,,
450,"8934_0030","8934_0030","Knonau","Brücke","ZH",522,2677823,1230975,434,,1983,"S21","H11","Randzonen","A2",,,,,
451,"8907_0070","8907_0070","Wettswil","In der Rehweid","ZH",507,2677889,1244340,580,,1966,"S0","H11",,"A3",,,,,
452,"8907_0060","8907_0060","Wettswil","Rastbank","ZH",529,2677897,1243727,538,,1980,"S00","H00",,"A3",,,,,
454,"8142_0010","8142_0010","Uitikon","Zopfstrasse","ZH",504,2677921,1245655,614,,1963,"S0","H11",,"A1",,,,,
456,"8906_0030","8906_0030","Bonstetten","Schule im Bruggen","ZH",524,2678111,1241880,542,,1976,"S0","H12",,"A3",,,,,
458,"8907_0100","8907_0100","Wettswil","Poststrasse 1","ZH",510,2678205,1243622,560,,1982,"S12","H13","Zentrum","A3",,,,,
459,"8907_0080","8907_0080","Wettswil","Strumbergweg 17","ZH",508,2678296,1244043,608,,1967,"S00","H11",,"A3",,,,,
460,"8907_0090","8907_0090","Wettswil","Junggrüststrasse 12","ZH",509,2678729,1243018,631,,1968,"S0","H11",,"A1",,,,,
461,"8143_0010","8143_0010","Stallikon","Loomattstrasse 1","ZH",505,2679066,1243772,557,,1981,"S11","H11","Randzonen","A3",,,,,
462,"8143_0020","8143_0020","Stallikon","Chilegass","ZH",506,2679508,1242234,554,,1965,"S12","H11",,"A3",,,,,
463,"8910_0010","8910_0010","Affoltern a. A.","Sandacherstrasse 22","ZH",514,2674895,1238216,476,,1971,"S0","H0",,"A1",,,,,
464,"8907_0020","8907_0020","Wettswil","Eichholzkamin","ZH",525,2677695,1244650,584,,1977,"S00","H00",,"A1",,,,,
501,"Kno_Oberdorfstrasse","8934_0050","Knonau","Oberdorfstrasse","ZH",573,2677585,1230948,432,,2022,"S0","H12","Wohngebiete","A2",,,,,
544,"Opf_Tenniscenter","8152_0070","Opfikon","Tenniscenter","ZH",901,2685570,1253830,431,,2376,"S31","H21","Randzonen","A2","Vorstädtisch","Verkehr","offen","&gt; 50&apos;000",
557,"Wad_Spital","8340_0310","Wald","Spital","ZH",903,2711161,1237318,642,,2378,"S0","H11","Randzonen","A1","Ländlich","Hintergrund","offen","&lt; 5&apos;000",
562,"Zch_SchwamAlt","8000_0050","Zürich","Schwamendingen Schulhaus Saatlen","ZH",75,2684921,1251510,430,,1371,"S00","H32","Wohngebiete",,,,,,
563,"Zch_Rosengartenstrasse","8000_1720","Zürich","Rosengartenstrasse","ZH",578,2682096,1249940,433,,2437,"S33","H33","Zentrum","A2","Städtisch","Verkehr","geschlossen","&gt; 50&apos;000",
566,"Obf_Gugelrebenstrasse","8912_0050","Obfelden","Gugelrebenstrasse","ZH",582,2674772,1235944,474,,2024,"S0","H12","Wohngebiete","A1","Ländlich","Verkehr","einseitig offen","&lt; 5&apos;000",
603,"8000_0130","8000_0130","Zürich","Limmatquai 18","ZH",621,2683468,1247065,408,,2076,"S12","H33",,"A2",,,,,
616,"8000_0990","8000_0990","Zürich","Turbinenplatz","ZH",622,2681427,1249307,403,,2077,"S13","H33",,"A2",,,,,
617,"8104_0010","8104_0010","Weiningen","Chübelackerstrasse","ZH",616,2675801,1252310,426,,2071,"S12","H12",,"A2",,,,,
618,"8104_0020","8104_0020","Weiningen","Chalofenstrasse 9","ZH",615,2675936,1252300,439,,2070,"S12","H12",,"A2",,,,,
619,"8104_0030","8104_0030","Weiningen","Grossächerweg 4","ZH",617,2675485,1252195,411,,2072,"S12","H11",,"A2",,,,,
620,"8104_0040","8104_0040","Weiningen","Restaurant Winzerhaus","ZH",618,2674975,1252738,450,,2073,"S11","H11",,"A2",,,,,
622,"8105_0020","8105_0020","Regensdorf","Affolternstrasse 313","ZH",629,2678821,1253360,455,,2088,"S11","H0","","A2",,,,,
623,"8105_0030","8105_0030","Regensdorf","Im Vogelsang","ZH",607,2678821,1253360,445,,2062,"S11","H11",,"A2",,,,,
625,"8152_0020","8152_0020","Opfikon","Frohdörflistrasse","ZH",603,2684333,1253656,437,,2058,"S23","H13",,"A2",,,,,
626,"8152_0060","8152_0060","Opfikon","Kreisel Glatthof","ZH",604,2685161,1254405,426,,2059,"S23","H23",,"A2",,,,,
629,"8174_0010","8174_0010","Stadel","Grundstrasse","ZH",669,2677921,1265241,426,,2130,"S00","H00   ",,"A2    ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
632,"8194_0010","8194_0010","Hüntwangen","Steinacker","ZH",670,2678909,1271880,399,,2131,"S00","H0     ",,"A2    ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
702,"8308_0030","8308_0030","Illnau-Effretikon","Wildert","ZH",672,2696535,1250584,543,,2133,"S0","H00   ",,"A2    ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
715,"8400_0120","8400_0120","Winterthur","Bahnmeisterweg","ZH",620,2696628,1261540,437,,2075,"S13","H23",,"A2",,,,,
716,"8400_0130","8400_0130","Winterthur","Eishalle","ZH",652,2698710,1261365,450,,2111,"S11","H22","Wohngebiete","A2",,,,,
717,"8400_0140","8400_0140","Winterthur","Tenniscenter","ZH",661,2699619,1260950,453,,2120,"S11","H23","Zentrum","A2",,,,,
718,"8400_0150","8400_0150","Winterthur","Holzwingertstrasse","ZH",654,2700753,1261981,473,,2113,"S0","H21","Randzonen","A2",,,,,
719,"8400_0160","8400_0160","Winterthur","Schiessstand Ohrbühl","ZH",659,2699795,1261718,457,,2118,"S11","H23","Zentrum","A2",,,,,
720,"8400_0170","8400_0170","Winterthur","Landenbergstrasse","ZH",656,2698402,1262227,507,,2115,"S00","H21","Randzonen","A2",,,,,
721,"8400_0180","8400_0180","Winterthur","Sulzerallee 3","ZH",660,2699070,1261922,453,,2119,"S0","H23","Zentrum","A2",,,,,
722,"8400_0190","8400_0190","Winterthur","Ida-Sträuli-Strasse","ZH",655,2700037,1262190,457,,2114,"S0","H21","Randzonen","A2",,,,,
723,"8400_0200","8400_0200","Winterthur","Ohrbühlstrasse 93","ZH",657,2700203,1262318,460,,2116,"S0","H22","Wohngebiete","A2",,,,,
724,"8400_0210","8400_0210","Winterthur","Rümikerstrasse 16","ZH",658,2700086,1262418,460,,2117,"S0","H22","Wohngebiete","A2",,,,,
725,"8400_0220","8400_0220","Winterthur","Eulachpark","ZH",653,2699779,1262427,459,,2112,"S00","H21","Randzonen","A2",,,,,
726,"8400_0230","8400_0230","Winterthur","Werkhof Wülflingen","ZH",662,2695728,1261118,436,,2121,"S11","H23","Zentrum","A2",,,,,
727,"8400_0240","8400_0240","Winterthur","Bahnhof Neuhegi","ZH",651,2700257,1262102,460,,2110,"S0","H21","Randzonen","A2",,,,,
728,"8414_0010","8414_0010","Buch am Irchel","Tächlishalden","ZH",673,2689194,1268759,453,,2134,"S00","H00   ",,"A2    ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
733,"8463_0020","8463_0020","Benken","Dorfplatz","ZH",625,2691266,1278780,420,,2085,"S11","H11","Randzonen","A2",,,,,
734,"8477_0020","8477_0020","Oberstammheim","Ölenberg","ZH",674,2702813,1276463,459,,2135,"S0","H00   ",,"A1     ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
750,"8617_0010","8617_0010","Mönchaltdorf","Altorfwisen","ZH",676,2697610,1239954,445,,2137,"S00","H00   ",,"A2    ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
755,"8700_0010","8700_0010","Küsnacht","Küsnachter Berg","ZH",677,2690876,1241451,658,,2138,"S0","H0     ",,"A1     ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
773,"8824_0010","8824_0010","Schönenberg","Oberhüsli","ZH",678,2691695,1226810,730,,2139,"S0","H00   ",,"A1     ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
780,"8903_0050","8903_0050","Birmensdorf","Bachstrasse","ZH",592,2675438,1245168,482,,2047,"S13","H13",,"A2",,,,,
781,"8903_0090","8903_0090","Birmensdorf","Am Berg 193","ZH",591,2674830,1244774,504,,2046,"S11","H11",,"A2",,,,,
784,"8907_0110","8907_0110","Wettswil","Moosstrasse","ZH",619,2678118,1243249,538,,2074,"S12","H12",,"A2",,,,,
785,"8908_0020","8908_0020","Hedingen","Zentrum","ZH",595,2676390,1239097,510,,2050,"S13","H13",,"A2",,,,,
787,"8912_0010","8912_0010","Obfelden","Muristrasse 5","ZH",602,2675220,1235885,480,,2057,"S12","H11",,"A2",,,,,
788,"8912_0020","8912_0020","Obfelden","Ecke Schürweidstrasse 4","ZH",601,2674815,1236010,475,,2056,"S11","H11",,"A2",,,,,
789,"8912_0030","8912_0030","Obfelden","Dorfstrasse 63","ZH",600,2674465,1235108,440,,2055,"S12","H11",,"A2",,,,,
790,"8912_0040","8912_0040","Obfelden","Sennhüttenstrasse 18","ZH",628,2674703,1235967,470,,2087,"S12","H11","Randzonen","A2",,,,,
791,"8913_0010","8913_0010","Ottenbach","Widenospen 3","ZH",606,2673549,1236565,427,,2061,"S12","H11",,"A2",,,,,
792,"8913_0020","8913_0020","Ottenbach","Dorfplatz","ZH",623,2673064,1237168,415,,2060,"S13","H13",,"A2",,,,,
793,"8932_0010","8932_0010","Mettmenstetten","Sunneggstrasse 12","ZH",599,2675905,1234754,469,,2054,"S21","H0",,"A2",,,,,
794,"8932_0030","8932_0030","Mettmenstetten","Gemeindehaus","ZH",598,2677589,1233010,472,,2053,"S13","H13",,"A2",,,,,
795,"8926_0010","8926_0010","Kappel am Albis","Uerzlikon","ZH",679,2680067,1230326,527,,2140,"S00","H00   ",,"A2    ","Ländlich","Hintergrund","keine","&lt; 5&apos;000",
